Density,EnergyType,Max.,Min.,RMS
1.5,1,5.18,-25.80,9.98
1.5,1,-5.10,-14.89,10.16
1.5,1,11.35,-22.80,9.16
1.5,1,438.60,-66.83,84.57
1.5,2,4.71,-26.01,10.04
1.5,2,-5.06,-14.35,10.03
1.5,2,11.02,-22.80,9.22
1.5,5.0,4.37,-26.01,10.16
1.5,5.0,-5.10,-13.69,9.88
1.5,5.0,10.44,-23.00,9.36
2.0,1.0,28.69,-20.87,10.39
2.0,1.0,-3.40,-15.85,9.74
2.0,1.0,-2.01,-12.32,8.00
2.0,2.0,17.03,-20.68,10.20
2.0,2.0,-3.15,-15.43,9.62
2.0,2.0,-1.93,-12.51,8.10
2.0,5.0,15.41,-20.37,10.26
2.0,5.0,-3.02,-14.96,9.50
2.0,5.0,-2.08,-12.52,8.25
2.5,1.0,15.10,-25.02,9.46
2.5,1.0,12.30,-25.00,11.37
2.5,1.0,-3.33,-13.82,8.08
2.5,2.0,14.36,-25.24,9.48
2.5,2.0,12.26,-24.80,11.26
2.5,2.0,-3.67,-13.71,8.18
2.5,5.0,13.37,-25.47,9.58
2.5,5.0,12.18,-24.51,11.15
2.5,5.0,-4.04,-13.78,8.36
